rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,targetDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
6,6,0,NEW,20184483,퍼펙트맨,2019-10-02,20190923,23418000,1.6,23418000,100,216470000,2640,2640,100,33341,13,13
7,7,0,NEW,20195968,더 룸,2019-09-25,20190923,18560000,1.3,18560000,100,37861600,2320,2320,100,4848,11,11
8,8,-1,OLD,20181103,벌새,2019-08-29,20190923,15188600,1.0,-17347240,-53.3,787042522,1963,-1898,-49.2,95329,85,164
9,9,-1,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190923,10170680,0.7,-22183790,-68.6,5064676167,1213,-2417,-66.6,585680,96,145
10,10,-4,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190923,8245900,0.6,-165663430,-95.3,4343198420,1097,-20748,-95,559668,171,198
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190922,2175129120,42.5,-323804320,-13,34253187024,245297,-39086,-13.7,3906773,1196,5844
2,2,0,OLD,20192982,애드 아스트라,2019-09-19,20190922,960944290,18.8,-286576250,-23,3209505700,105566,-29898,-22.1,352932,835,3526
3,3,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190922,689953200,13.5,-21635650,-3,18737631834,75948,-4799,-5.9,2111604,801,2790
4,4,0,OLD,20193807,예스터데이,2019-09-18,20190922,467709230,9.1,-75135630,-13.8,1959525140,53538,-8701,-14,226984,647,2494
5,5,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190922,373982300,7.3,-16096830,-4.1,9500236616,43858,-2776,-6,1119490,597,1741
6,6,0,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190922,173909330,3.4,13409740,8.4,4334952520,21845,1493,7.3,558571,431,644
7,7,1,OLD,20181103,벌새,2019-08-29,20190922,32535840,0.6,-1508390,-4.4,771853922,3861,-276,-6.7,93366,91,154
8,8,-1,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190922,32354470,0.6,-18610600,-36.5,5054505487,3630,-2146,-37.2,584467,104,161
9,9,0,OLD,20184621,엑시트,2019-07-31,20190922,28623880,0.6,-5249320,-15.5,79107385402,3421,-657,-16.1,9407848,140,184
10,10,0,OLD,20194943,발명왕 볼트,2019-09-19,20190922,25125340,0.5,-828260,-3.2,57983640,3122,-75,-2.3,7386,239,293
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190921,2498933440,42.3,1347911820,117.1,32078057904,284383,153085,116.6,3661476,1225,6002
2,2,0,OLD,20192982,애드 아스트라,2019-09-19,20190921,1247520540,21.1,675253230,118,2248561410,135464,73273,117.8,247366,853,3633
3,3,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190921,711588850,12.1,351606360,97.7,18047678634,80747,38879,92.9,2035656,818,2899
4,4,0,OLD,20193807,예스터데이,2019-09-18,20190921,542844860,9.2,272203400,100.6,1491815910,62239,31319,101.3,173446,667,2679
5,5,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190921,390079130,6.6,221617530,131.6,9126254316,46634,25942,125.4,1075632,593,1779
6,6,3,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190921,160499590,2.7,145738770,987.3,4161043190,20352,18435,961.7,536726,408,602
7,7,-1,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190921,50965070,0.9,25875350,103.1,5022151017,5776,2935,103.3,580837,109,177
8,8,-1,OLD,20181103,벌새,2019-08-29,20190921,34044230,0.6,10947650,47.4,739318082,4137,1466,54.9,89505,85,149
9,9,2,OLD,20184621,엑시트,2019-07-31,20190921,33873200,0.6,21036480,163.9,79078761522,4078,2514,160.7,9404427,152,204
10,10,13,OLD,20194943,발명왕 볼트,2019-09-19,20190921,25953600,0.4,21750700,517.5,32858300,3197,2565,405.9,4264,232,297
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190920,1151021620,41.7,320097650,38.5,29579124464,131298,29102,28.5,3377093,1083,5218
2,2,0,OLD,20192982,애드 아스트라,2019-09-19,20190920,572267310,20.8,167741950,41.5,1001040870,62191,14979,31.7,111902,823,3442
3,3,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190920,359982490,13.1,63585060,21.5,17336089784,41868,4090,10.8,1954909,821,2872
4,4,0,OLD,20193807,예스터데이,2019-09-18,20190920,270641460,9.8,68391610,33.8,948971050,30920,6265,25.4,111207,729,2949
5,5,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190920,168461600,6.1,35832140,27,8736175186,20692,3018,17.1,1028998,619,1824
